"","Name","URL","npcurl","locale","highdeg","control","Admission Rate","Size of School","Degree Type","ugds_men","ugds_women","preddeg","Enrollment","satvrmid","satmtmid","longitude","latitude","Average Debt","satwrmid","State","c150_l4","City","Tuition","Region","Sourrounding area"
"1","Rabbi Jacob Joseph School","rabbijacobjoseph.com","https://sites.google.com/site/rabbijacobjosephschool/",21,3,2,1,"Small","Bachelor Degree",1,0,3,98,NA,NA,-74.399497,40.499821,NA,NA,"NJ",NA,"Edison",18200,"Northeast","Suburban"
"2","Vatterott College-Sunset Hills","www.vatterott.edu","www.vatterott.edu/calculator/",21,3,3,NA,"Small","Associate Degree",0.4817,0.5183,2,431,NA,NA,-90.41884,38.521026,22000,NA,"MO",NA,"Sunset Hills",23062,"Other","Suburban"
"3","Herzing University-Kenner","www.herzing.edu","www.herzing.edu/financial-aid/net-price-calculator",21,4,3,0.7097,"Small","Associate Degree",0.1923,0.8077,2,461,NA,NA,-90.240873,30.001701,17946,NA,"LA",NA,"Kenner",26781,"Southeast","Suburban"
"4","Western Governors University","www.wgu.edu","www.wgu.edu/tuition_financial_aid/net_price_calculator",21,4,2,NA,"Large","Bachelor Degree",0.414,0.586,3,54735,NA,NA,-111.869857,40.684783,12600,NA,"UT",NA,"Salt Lake City",13270,"Midwest","Suburban"
"5","Instituto Tecnologico de Puerto Rico-Recinto de Ponce","www.itecponce.com/","itecponce.com",12,2,1,0.9673,"Small","Associate Degree",0.6636,0.3364,2,665,NA,NA,-66.629202,17.998197,NA,NA,"PR",0.8696,"Ponce",4559,"Other","Urban"
"6","Erie Community College","www.ecc.edu","www.suny.edu/howmuch/",11,2,1,NA,"Large","Associate Degree",0.4944,0.5056,2,10027,NA,NA,-78.872679,42.881771,8000,NA,"NY",0.1936,"Buffalo",10365,"Northeast","Urban"
"7","Clinton College","www.clintoncollege.edu","www.clintoncollege.edu/studentaffairs.htm",13,3,2,NA,"Small","Associate Degree",0.5971,0.4029,2,161,NA,NA,-81.043469,34.913721,12000,NA,"SC",0.5303,"Rock Hill",13340,"Southeast","Urban"
"8","ITT Technical Institute-Springfield","www.itt-tech.edu","www.itt-tech.edu/npc",12,3,3,0.9573,"Small","Associate Degree",0.7881,0.2119,2,111,NA,NA,-93.275957,37.154882,18666,NA,"MO",NA,"Springfield",28569,"Other","Urban"
"9","ITT Technical Institute-Springfield","www.itt-tech.edu","www.itt-tech.edu/npc",12,3,3,0.9573,"Small","Associate Degree",0.7881,0.2119,2,699,NA,NA,-93.275957,37.154882,18666,NA,"VA",NA,"Springfield",27555,"Other","Urban"
"10","ITT Technical Institute-Springfield","www.itt-tech.edu","www.itt-tech.edu/npc",12,3,3,0.9573,"Small","Associate Degree",0.7881,0.2119,2,188,NA,NA,-93.275957,37.154882,18666,NA,"IL",NA,"Springfield",28098,"Other","Urban"
